timestamp,wp_index,goal_x,goal_y,current_x,current_y,current_yaw_rad,distance_error,heading_error_rad,cmd_linear_x,cmd_angular_z
3791.0041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.0208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.0374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.0541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.0709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.0875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.1041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.1208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.1374,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.1542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.1709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.1875,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.2041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.2208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.2375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.2542,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.2708,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.2874,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.3041,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.3209,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.3375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.3541,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.3709,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.3876,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.4042,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.4208,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
3791.4375,1,0.2020,-2.4710,0.0820,-2.1503,-1.0987,0.3424,-0.1140,0.0000,-0.0285
